DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
DA25/2300,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735932&propkey=99841, Torrens title subdivision of Lot 1 to create Lot 101 and a proposed Lot 102 (residue allotment), 15/10/2025,AwaitInfo,Development Application,"5 Cashman Rd, ULLADULLA",Matthew Paduch,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '15/10/2025|Development Application Received|2025-10-15||2025-10-15|Past']",$1155,"DA25/2300 M Paduch - PAN-581196 - 5 Cashman Road ULLADU...
DA25/2300/1 Application - M Paduch - PAN-581196 - 5 Cashm...
  *D25/456973 Report - Biodiversity Offsets Scheme - 5 Cash... 
  *D25/456968 Plans - Preliminary Engineering Drawings - 5 ... 
  *D25/456969 Plans - Proposed Plan of Subdivision - 5 Cash... 
DA25/2300/6 Determination - M Paduch - PAN-581196 - 5 Cas...
DA25/2300/5 Inspections - M Paduch - PAN-581196 - 5 Cashm...
DA25/2300/7 Post Determination - M Paduch - PAN-581196 - ...
DA25/2300/2 Notification / Submissions - M Paduch - PAN-5...
DA25/2300/4 Assessment - M Paduch - PAN-581196 - 5 Cashma...
DA25/2300/8 Connected Documents - M Paduch - PAN-581196 -...
DA25/2300/3 Referrals - M Paduch - PAN-581196 - 5 Cashman...",Not required
MA25/1333,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735456&propkey=29477," S4.55(1A) to DA22/1921 - Alterations to approved plans to make the better use of space and natural light, Changing windows Removing awnings Change to roof pitch Change to finished floor height", 15/10/2025,Approved on 13/11/2025,Modification Application,"35 Seasongood Rd, WOOLLAMIA",Aymee Marie Woodland,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '08/10/2025|Modification Application Received|2025-10-08||2025-10-08|Past']",$1334,"MA25/1333 A M Woodland - PAN-575006 - 35 Seasongood Roa...
MA25/1333/1 Application - A M Woodland - PAN-575006 - 35 ...
  *D25/457507 Certificate - BASIX - 35 Seasongood Road WOOL... 
  *D25/457532 Plans - Site - 35 Seasongood Road WOOLLAMIA ... 
  *D25/457536 Plans - Notification - V3 uploaded 15/10/25 1... 
  *D25/457525 Letter - Modification cover - V5 uploaded 15/... 
MA25/1333/4 Assessment - A M Woodland - PAN-575006 - 35 S...
MA25/1333/3 Referrals - A M Woodland - PAN-575006 - 35 Se...
MA25/1333/7 Post Determination - A M Woodland - PAN-57500...
MA25/1333/6 Determination - A M Woodland - PAN-575006 - 3...
  *D25/537455 Consent - Consolidated Development - 35 Seaso... 
  *D25/537779 Plans - APPROVED - 35 Seasongood Rd Woollamia... 
MA25/1333/5 Inspections - A M Woodland - PAN-575006 - 35 ...
MA25/1333/2 Notification / Submissions - A M Woodland - P...
MA25/1333/8 Connected Documents - A M Woodland - PAN-5750...",Not required
MA25/1337,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735577&propkey=1004118, S4.55(1A) to DA25/1459 - amendment to the rainwater tank to be underground, 15/10/2025,Approved on 11/11/2025,Modification Application,"38 Serenity Rdge, BERRY",McDonald Jones Homes Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '09/10/2025|Modification Application Received|2025-10-09||2025-10-09|Past']",$914,"MA25/1337 McDonald Jones Homes Pty Ltd - PAN-579589 - 3...
MA25/1337/1 Application - McDonald Jones Homes Pty Ltd - ...
  *D25/457715 Report - Energy Efficiency Assessment - 38 Se... 
  *D25/457711 Development Consent DA25/1459 - 38 Serenity R... 
  *D25/457693 Certificate - BASIX - 38 Serenity Ridge BERRY... 
  *D25/457706 Plans - Notification - 38 Serenity Ridge BERR... 
  *D25/457705 Plans - Landscape - 38 Serenity Ridge BERRY N... 
  *D25/457703 Letter - Modification cover - 38 Serenity Rid... 
MA25/1337/6 Determination - McDonald Jones Homes Pty Ltd ...
  *D25/527936 Approved - Plans - MA2025/1337 - 38 Serenity ... 
  *D25/532855 Consolidated Consent - MA2025/1337 - 38 Seren... 
MA25/1337/5 Inspections - McDonald Jones Homes Pty Ltd - ...
MA25/1337/8 Connected Documents - McDonald Jones Homes Pt...
MA25/1337/7 Post Determination - McDonald Jones Homes Pty...
MA25/1337/4 Assessment - McDonald Jones Homes Pty Ltd - P...
MA25/1337/2 Notification / Submissions - McDonald Jones H...
MA25/1337/3 Referrals - McDonald Jones Homes Pty Ltd - PA...",Not required
DA25/2269,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735528&propkey=13193," Demolition of an existing two-storey dwelling and construction of a two-storey dwelling, garage and swimming pool less than 40kL", 16/10/2025,AwaitInfo,Development Application,"446 Elizabeth Dr, VINCENTIA",Peter Donald O'Hehir,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '08/10/2025|Development Application Received|2025-10-08||2025-10-08|Past']",$5401.08,"DA25/2269/6 Determination - P D O'Hehir - PAN-579306 - 44...
DA25/2269/2 Notification / Submissions - P D O'Hehir - PA...
DA25/2269/1 Application - P D O'Hehir - PAN-579306 - 446 ...
  *D25/459010 Certificate - NatHERS - 446 Elizabeth Drive V... 
  *D25/459036 Report - Biodiversity Offset Scheme - 446 Eli... 
  *D25/459012 Certificate - BASIX - 446 Elizabeth Drive VI... 
  *D25/459037 Report - Redacted Bushfire Assessment - 446 ... 
  *D25/459014 Forms - Waste Management Plan - V2 - Uploaded... 
  *D25/459035 Report - Statement of Environmental Effects -... 
  *D25/459032 Plans - Site - V3 - Uploaded 16/10/25 - 446 E... 
  *D25/459031 Plans - Notification - V3 - Uploaded 16/10/25... 
DA25/2269/5 Inspections - P D O'Hehir - PAN-579306 - 446 ...
DA25/2269 P D O'Hehir - PAN-579306 - 446 Elizabeth Driv...
DA25/2269/3 Referrals - P D O'Hehir - PAN-579306 - 446 El...
DA25/2269/8 Connected Documents - P D O'Hehir - PAN-57930...
DA25/2269/4 Assessment - P D O'Hehir - PAN-579306 - 446 E...
DA25/2269/7 Post Determination - P D O'Hehir - PAN-579306...",Not required
MA25/1344,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735804&propkey=120347, S4.55(1) to SF10658 - amendment to condition 71, 16/10/2025,Approved on 24/10/2025,Modification Application,"Maisie Williams Dr, MOLLYMOOK",Hazcorp Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '13/10/2025|Modification Application Received|2025-10-13||2025-10-13|Past']",$150,"MA25/1344 Hazcorp Pty Ltd - PAN-580608 - Maisie William...
MA25/1344/4 Assessment - Hazcorp Pty Ltd - PAN-580608 - M...
MA25/1344/6 Determination - Hazcorp Pty Ltd - PAN-580608 ...
  *D25/495915 APPROVED Consolidated Consent MA2025 1344 216... 
MA25/1344/3 Referrals - Hazcorp Pty Ltd - PAN-580608 - Ma...
MA25/1344/1 Application - Hazcorp Pty Ltd - PAN-580608 - ...
  *D25/458815 Plans - Approved Plan of Subdivision - Maisie... 
  *D25/458814 Plans - Preliminary Engineering Drawings - Ma... 
  *D25/458813 Letter - Modification Letter - Maisie William... 
MA25/1344/5 Inspections - Hazcorp Pty Ltd - PAN-580608 - ...
MA25/1344/2 Notification / Submissions - Hazcorp Pty Ltd ...
MA25/1344/7 Post Determination - Hazcorp Pty Ltd - PAN-58...
MA25/1344/8 Connected Documents - Hazcorp Pty Ltd - PAN-5...",Not required
DA25/2275,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735615&propkey=28050, Alterations and additions to shop top housing, 17/10/2025,UnderAss,Development Application,"3 Parkes Cr, CALLALA BEACH",Antonio Bagala,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '09/10/2025|Development Application Received|2025-10-09||2025-10-09|Past']",$4287.96,"DA25/2275/1 Application - A Bagala - PAN-579674 - 3 Parke...
  *D25/462514 Forms - Waste Management - 3 Parkes Crescent ... 
  *D25/462507 Certificate - BASIX - UNIT 1 - 3 Parkes Cresc... 
  *D25/462509 Certificate - BASIX - UNIT 2 - 3 Parkes Cresc... 
  *D25/462506 Certificate - BASIX - UNIT 3 - 3 Parkes Cresc... 
  *D25/462533 Report - Statement of Environmental Effects -... 
  *D25/462531 Plans - Site - 3 Parkes Crescent CALLALA BEAC... 
  *D25/462524 Plans - Water Management - 3 Parkes Crescent ... 
  *D25/462519 Letter - Landscaping - 3 Parkes Crescent CALL... 
  *D25/462528 Plans - Notification - V2 - Uploaded 17/10/25... 
DA25/2275 A Bagala - PAN-579674 - 3 Parkes Crescent CAL...
DA25/2275/6 Determination - A Bagala - PAN-579674 - 3 Par...
DA25/2275/2 Notification / Submissions - A Bagala - PAN-5...
DA25/2275/5 Inspections - A Bagala - PAN-579674 - 3 Parke...
DA25/2275/4 Assessment - A Bagala - PAN-579674 - 3 Parkes...
DA25/2275/8 Connected Documents - A Bagala - PAN-579674 -...
DA25/2275/7 Post Determination - A Bagala - PAN-579674 - ...
DA25/2275/3 Referrals - A Bagala - PAN-579674 - 3 Parkes ...",Not required
DA25/2278,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735666&propkey=24925, Single storey dwelling house, 17/10/2025,Approved on 25/11/2025,Development Application,"2 Cameron St, CONJOLA PARK",Masterton Homes,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '10/10/2025|Development Application Received|2025-10-10||2025-10-10|Past']",$2060.18,"DA25/2278/4 Assessment - Masterton Homes - PAN-579996 - 2...
DA25/2278/5 Inspections - Masterton Homes - PAN-579996 - ...
DA25/2278/7 Post Determination - Masterton Homes - PAN-57...
DA25/2278/1 Application - Masterton Homes - PAN-579996 - ...
  *D25/462427 Plans - Schedule of Colours, Materials and Fi... 
  *D25/462454 Report - Biodiversity Offset Scheme - 2 Camer... 
  *D25/462402 Certificate - NatHERS - 2 Cameron Street CONJ... 
  *D25/462403 Certificate - BASIX - 2 Cameron Street CONJOL... 
  *D25/462455 Report - Bushfire Assessment - 2 Cameron Stre... 
  *D25/462456 Report - Statement of Environmental Effects -... 
  *D25/462449 Plans - Site - 2 Cameron Street CONJOLA PARK ... 
  *D25/462439 Plans - Elevations - 2 Cameron Street CONJOLA... 
  *D25/462447 Plans - Erosion & Sediment Control - 2 Camero... 
  *D25/462434 Plans - Landscape Plan - 2 Cameron Street CON... 
  *D25/462452 Forms - Waste Management - V2 - Uploaded 17/1... 
  *D25/462444 Plans - Notification - V2 - Uploaded 17/10/25... 
DA25/2278/6 Determination - Masterton Homes - PAN-579996 ...
  *D25/553224 Approved External Plans - DA2025/2278 - Dwell... 
  *D25/553271 Approved Statement of Environmental Effects -... 
  *D25/553275 Approved Schedule of Colours, Materials and F... 
  *D25/553304 Approved BASIX Certificate - DA2025/2278 - Dw... 
  *D25/553327 Notice of Determination - Alterations and Add... 
DA25/2278 Masterton Homes - PAN-579996 - 2 Cameron Stre...
DA25/2278/8 Connected Documents - Masterton Homes - PAN-5...
DA25/2278/3 Referrals - Masterton Homes - PAN-579996 - 2 ...
DA25/2278/2 Notification / Submissions - Masterton Homes ...",Not required
DA25/2282,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735736&propkey=18639, Carport and extension of existing decks with roof over and a swimming pool, 17/10/2025,Approved on 05/12/2025,Development Application,"176 Matron Porter Dr, MOLLYMOOK BEACH",Joshua Pin,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '11/10/2025|Development Application Received|2025-10-11||2025-10-11|Past']",$1537.52,"DA25/2282/5 Inspections - J Pin - PAN-580270 - 176 Matron...
DA25/2282/1 Application - J Pin - PAN-580270 - 176 Matron...
  *D25/462213 Forms - Waste Management - 176 Matron Porter... 
  *D25/462227 Report - Statement of Environmental Effects -... 
  *D25/462229 Report - Biodiversity Offsets Scheme - 176 Ma... 
  *D25/462221 Plans - Site - 176 Matron Porter Drive MOLLY... 
  *D25/462225 Plans - Notification - V3 - Uploaded 17/10/25... 
DA25/2282/2 Notification / Submissions - J Pin - PAN-5802...
DA25/2282/3 Referrals - J Pin - PAN-580270 - 176 Matron P...
DA25/2282/4 Assessment - J Pin - PAN-580270 - 176 Matron ...
DA25/2282 J Pin - PAN-580270 - 176 Matron Porter Drive ...
DA25/2282/6 Determination - J Pin - PAN-580270 - 176 Matr...
  *D25/569995 Approved Plans (combined) DA2025 2282 - 176 M... 
  *D25/569959 Determination Notice - DA2025 2282 - 176 Matr... 
DA25/2282/7 Post Determination - J Pin - PAN-580270 - 176...
DA25/2282/8 Connected Documents - J Pin - PAN-580270 - 17...",Not required
MA25/1350,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736222&propkey=1003005," Section 4.54 to extend a deferred commencement lapsing period by an additional 12 months for SF10898 relating to 2-10 and 49 Taylors Lane and Lancaster Drive, Badagarang (the site). The requested extension would result in a total deferred commencement timeframe of 36 months.", 17/10/2025,Approved on 03/11/2025,Modification Application,"10 Taylors Lane, BADAGARANG
2 Taylors Lane, BADAGARANG
49 Taylors Lane, BADAGARANG
Catalina Pl, BADAGARANG",Cambewarra Ventures Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '17/10/2025|Modification Application Received|2025-10-17||2025-10-17|Past']",$174,"MA25/1350 Cambewarra Ventures Pty Ltd - PAN-582125 - 10...
MA25/1350/4 Assessment - Cambewarra Ventures Pty Ltd - PA...
MA25/1350/3 Referrals - Cambewarra Ventures Pty Ltd - PAN...
MA25/1350/5 Inspections - Cambewarra Ventures Pty Ltd - P...
MA25/1350/2 Notification / Submissions - Cambewarra Ventu...
MA25/1350/7 Post Determination - Cambewarra Ventures Pty ...
MA25/1350/1 Application - Cambewarra Ventures Pty Ltd - P...
  *D25/462596 Report - Statement of Environmental Effects -... 
MA25/1350/8 Connected Documents - Cambewarra Ventures Pty...
MA25/1350/6 Determination - Cambewarra Ventures Pty Ltd -...
  *D25/519762 Determination - Modified Consolidated Consent... ",Not required
DA25/2301,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735989&propkey=56361, Alterations and additions to dwelling house, 20/10/2025,Approved on 19/11/2025,Development Application,"58 Catherine St, MYOLA",Garsh Developments Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '15/10/2025|Development Application Received|2025-10-15||2025-10-15|Past']",$2194,"DA25/2301 Garsh Developments Pty Ltd - PAN-581453 - 58 ...
DA25/2301/3 Referrals - Garsh Developments Pty Ltd - PAN-...
DA25/2301/1 Application - Garsh Developments Pty Ltd - PA...
  *D25/464086 Forms - Waste Management - 58 Catherine Stree... 
  *D25/464098 Report - Bushfire Assessment - 58 Catherine S... 
  *D25/464097 Report - Statement of Environmental Effects -... 
  *D25/464101 Report - Biodiversity Offsets Scheme - 58 Cat... 
  *D25/464093 Plans - Notification - V2 - Uploaded 17/10/25... 
  *D25/464081 Certificate - BASIX - 58 Catherine Street MYO... 
  *D25/464089 Plans - Site - 58 Catherine Street MYOLA NSW... 
DA25/2301/2 Notification / Submissions - Garsh Developmen...
  *D25/508907 Submission - Mr Wayne Creed - PUBLIC - Submis... 
DA25/2301/5 Inspections - Garsh Developments Pty Ltd - PA...
DA25/2301/4 Assessment - Garsh Developments Pty Ltd - PAN...
DA25/2301/6 Determination - Garsh Developments Pty Ltd - ...
  *D25/543622 Notice of Determination - Alterations and Add... 
  *D25/543572 Approved Plans - 58 Catherine St Myola - Lot ... 
DA25/2301/8 Connected Documents - Garsh Developments Pty ...
DA25/2301/7 Post Determination - Garsh Developments Pty L...",Not required
MA25/1345,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735859&propkey=38022, S4.55(1A) to DA2023/3182 - Changes to external wall materials and window sizes, 20/10/2025,Approved on 03/11/2025,Modification Application,"Church St, TOMERONG",Paul Marano,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '14/10/2025|Modification Application Received|2025-10-14||2025-10-14|Past']",$914,"MA25/1345/6 Determination - P Marano - PAN-580865 - Churc...
  *D25/519015 Consolidated Consent MA2025 1345 - Lot 38 Chu... 
  *D25/519410 Approved Plans Modified by MA2025-1345 - Lot ... 
  *D25/519431 Basix Certificate Modified - Lot 38 Church St... 
MA25/1345 P Marano - PAN-580865 - Church Street TOMERON...
MA25/1345/1 Application - P Marano - PAN-580865 - Church ...
  *D25/464277 Plans - Notification - Church Street TOMERONG... 
  *D25/464259 Certificate - NatHERS - Church Street TOMERO... 
  *D25/464261 Certificate - BASIX - Church Street TOMERONG... 
  *D25/464286 Report - Statement of Environmental Effects -... 
  *D25/464274 Letter - Modfication Cover - Church Street T... 
  *D25/464275 Plans - Site - Church Street TOMERONG NSW 25... 
MA25/1345/5 Inspections - P Marano - PAN-580865 - Church ...
MA25/1345/4 Assessment - P Marano - PAN-580865 - Church S...
MA25/1345/2 Notification / Submissions - P Marano - PAN-5...
MA25/1345/3 Referrals - P Marano - PAN-580865 - Church St...
MA25/1345/7 Post Determination - P Marano - PAN-580865 - ...
MA25/1345/8 Connected Documents - P Marano - PAN-580865 -...",Not required
MA25/1347,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735986&propkey=22434, S4.55(1A) to DA2024/1385 - Garage to replace previously demolished garage, 20/10/2025,Approved on 11/11/2025,Modification Application,"57 Walton Way, CURRARONG",Chris Williamson,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '15/10/2025|Modification Application Received|2025-10-15||2025-10-15|Past']",$705,"MA25/1347 C Williamson - PAN-581456 - 57 Walton Way CUR...
MA25/1347/1 Application - C Williamson - PAN-581456 - 57 ...
  *D25/464232 Forms - Waste Management - 57 Walton Way CURR... 
  *D25/464252 Report - Biodiversity Offsets Scheme - 57 Wal... 
  *D25/464243 Plans - Site - 57 Walton Way CURRARONG NSW 25... 
  *D25/464244 Plans - Notification - 57 Walton Way CURRARON... 
  *D25/464251 Report - Statement of Environmental Effects -... 
  *D25/464238 Letter - Cover Letter - V2 - Uploaded 20/10/2... 
  *D25/499789 Revised Plans - 24-10-2024 - 57 Walton Way Cu... 
MA25/1347/5 Inspections - C Williamson - PAN-581456 - 57 ...
MA25/1347/4 Assessment - C Williamson - PAN-581456 - 57 W...
MA25/1347/6 Determination - C Williamson - PAN-581456 - 5...
  *D25/518637 Consolidated Consent - 57 Walton Way CURRARO... 
  *D25/518676 Approved - Plans - 57 Walton Way CURRARONG -... 
MA25/1347/3 Referrals - C Williamson - PAN-581456 - 57 Wa...
MA25/1347/2 Notification / Submissions - C Williamson - P...
MA25/1347/7 Post Determination - C Williamson - PAN-58145...
MA25/1347/8 Connected Documents - C Williamson - PAN-5814...",Not required
DA25/2294,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735846&propkey=34240, Dual occupancy (detached), 21/10/2025,Approved on 17/12/2025,Development Application,"108 Pitt St, NORTH NOWRA",Structcorp Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '14/10/2025|Development Application Received|2025-10-14||2025-10-14|Past']",$3090.48,"DA25/2294/2 Notification / Submissions - Structcorp Pty L...
DA25/2294/1 Application - Structcorp Pty Ltd - PAN-580828...
  *D25/466709 Certificate - NatHERS Dwelling 01 - 108 Pitt ... 
  *D25/466712 Certificate - NatHERS - 108 Pitt Street NORTH... 
  *D25/466710 Certificate - NatHERS Dwelling 02 - 108 Pitt ... 
  *D25/466711 Certificate - BASIX - 108 Pitt Street NORTH N... 
  *D25/466730 Plans - Notification - 108 Pitt Street NORTH ... 
  *D25/466727 Plans - Landscape - 108 Pitt Street NORTH NOW... 
  *D25/466726 Plans - Site - 108 Pitt Street NORTH NOWRA NS... 
  *D25/466737 Report - Bushfire Assessment - V2 - Uploaded ... 
  *D25/466732 Report - Statement of Environmental Effects -... 
  *D25/466721 Forms - Waste Management - V2 - Uploaded 17/1... 
  *D25/466733 Report - Biodiversity Offset Scheme - 108 Pit... 
DA25/2294 Structcorp Pty Ltd - PAN-580828 - 108 Pitt St...
DA25/2294/4 Assessment - Structcorp Pty Ltd - PAN-580828 ...
DA25/2294/8 Connected Documents - Structcorp Pty Ltd - PA...
DA25/2294/3 Referrals - Structcorp Pty Ltd - PAN-580828 -...
DA25/2294/7 Post Determination - Structcorp Pty Ltd - PAN...
DA25/2294/5 Inspections - Structcorp Pty Ltd - PAN-580828...
DA25/2294/6 Determination - Structcorp Pty Ltd - PAN-5808...
  *D25/591285 Notice of Determination - 108 Pitt Street NOR... 
  *D25/591582 Approved Plans (public view) - 108 Pitt Stree... ",Not required
DA25/2297,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735914&propkey=1004276, Single Storey Dwelling House, 21/10/2025,Approved on 13/11/2025,Development Application,"37 Wirraway Bvd, BADAGARANG",White Sands Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '14/10/2025|Development Application Received|2025-10-14||2025-10-14|Past']",$2580,"DA25/2297/4 Assessment - White Sands Pty Ltd - PAN-581123...
DA25/2297/1 Application - White Sands Pty Ltd - PAN-58112...
  *D25/467112 Plans - Site - 37 Wirraway Boulevard BADAGARA... 
  *D25/467104 Certificate - BASIX - 37 Wirraway Boulevard B... 
  *D25/467103 Certificate - NatHERS - 37 Wirraway Boulevar... 
  *D25/467117 Report - Statement of Environmental Effects -... 
  *D25/467118 Report - Biodiversity Offset Scheme - 37 Wirr... 
  *D25/467116 Plans - Notification - 37 Wirraway Boulevard... 
  *D25/467114 Plans - Schedule of Colours Materials and Fin... 
  *D25/467109 Forms - Waste Management - V2 - Uploaded 20/1... 
DA25/2297/3 Referrals - White Sands Pty Ltd - PAN-581123 ...
DA25/2297/2 Notification / Submissions - White Sands Pty ...
DA25/2297 White Sands Pty Ltd - PAN-581123 - 37 Wirrawa...
DA25/2297/5 Inspections - White Sands Pty Ltd - PAN-58112...
DA25/2297/7 Post Determination - White Sands Pty Ltd - PA...
DA25/2297/8 Connected Documents - White Sands Pty Ltd - P...
DA25/2297/6 Determination - White Sands Pty Ltd - PAN-581...
  + D25/552830 Water Development Notice - DA25 2297 - N1 
  *D25/536224 Notice of Determination - 37 Wirraway Boulev... 
  *D25/536283 Approved Plans (public) - 37 Wirraway Bouleva... ",Not required
DA25/2299,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735928&propkey=98588, Commercial business identification signage, 21/10/2025,UnderAss,Development Application,"242 Princes Hwy, BOMADERRY",Chunfu Cai,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '14/10/2025|Development Application Received|2025-10-14||2025-10-14|Past']",$716,"DA25/2299 C Cai - PAN-581182 - 242 Princes Highway BOMA...
DA25/2299/1 Application - C Cai - PAN-581182 - 242 Prince...
  *D25/466251 Plans - Colours and Materials Schedule - 242 ... 
  *D25/466249 Plans - Site - 242 Princes Highway BOMADERRY... 
  *D25/466250 Plans - Elevations and Sections - 242 Princes... 
  *D25/466253 Report - Biodiversity Offset Scheme - 242 Pri... 
  *D25/466256 Report - Statement of Environmental Effects -... 
  *D25/466246 Forms - Waste Management - V4 - Uploaded 21/1... 
DA25/2299/3 Referrals - C Cai - PAN-581182 - 242 Princes ...
DA25/2299/8 Connected Documents - C Cai - PAN-581182 - 24...
DA25/2299/2 Notification / Submissions - C Cai - PAN-5811...
DA25/2299/5 Inspections - C Cai - PAN-581182 - 242 Prince...
DA25/2299/4 Assessment - C Cai - PAN-581182 - 242 Princes...
DA25/2299/7 Post Determination - C Cai - PAN-581182 - 242...
DA25/2299/6 Determination - C Cai - PAN-581182 - 242 Prin...",Not required
DA25/2317,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736287&propkey=120347, Dual occupancy (detached) on proposed Lot 19 in Lot 115 DP 1228280 (SF 10658), 21/10/2025,AwaitInfo,Development Application,"Maisie Williams Dr, MOLLYMOOK",Kirsty Chant,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '17/10/2025|Development Application Received|2025-10-17||2025-10-17|Past']",$4914.36,"DA25/2317/2 Notification / Submissions - K Chant - PAN-58...
DA25/2317/6 Determination - K Chant - PAN-582363 - Maisie...
DA25/2317/3 Referrals - K Chant - PAN-582363 - Maisie Wil...
  *D25/513576 Internal Referral - Development Engineer - DA... 
DA25/2317/5 Inspections - K Chant - PAN-582363 - Maisie W...
DA25/2317/1 Application - K Chant - PAN-582363 - Maisie W...
  *D25/467019 Certificate - NatHERS - Dwelling 2 - Maisie W... 
  *D25/467024 Certificate - NatHERS - Dwelling 1 - Maisie W... 
  *D25/467028 Certificate - NatHERS - Maisie Williams Drive... 
  *D25/467026 Certificate - BASIX - Maisie Williams Drive M... 
  *D25/467050 Plans - Notification - Maisie Williams Drive ... 
  *D25/467052 Report - Statement of Environmental Effects -... 
  *D25/467042 Plans - Landscape - Maisie Williams Drive MOL... 
  *D25/467053 Report - Bushfire Assessment - Maisie William... 
  *D25/467048 Plans - Site - Maisie Williams Drive MOLLYMO... 
  *D25/467051 Report - Biodiversity Offset Scheme - V2 - Up... 
  *D25/467032 Forms - Waste Management - V2 - Uploaded 21/1... 
DA25/2317 K Chant - PAN-582363 - Maisie Williams Drive ...
DA25/2317/4 Assessment - K Chant - PAN-582363 - Maisie Wi...
DA25/2317/7 Post Determination - K Chant - PAN-582363 - M...
DA25/2317/8 Connected Documents - K Chant - PAN-582363 - ...",Not required
DA25/2319,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=736382&propkey=118571, Use of manufactured home as a dwelling house. proposed rainwater tank and use of existing rainwater tank, 21/10/2025,AwaitInfo,Development Application,"45A Murramarang Rd, BAWLEY POINT",Camilla Rocks,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '20/10/2025|Development Application Received|2025-10-20||2025-10-20|Past']",$3044.56,"DA25/2319 C Rocks - PAN-582733 - 45A Murramarang Road B...
DA25/2319/1 Application - C Rocks - PAN-582733 - 45A Murr...
  *D25/476848 Forms - Waste Management - 45A Murramarang R... 
  *D25/476914 Report - Bushfire Assessment - 45A Murramaran... 
  *D25/476900 Report - Biodiversity Offsets Scheme - 45A Mu... 
  *D25/476882 Plans - Notification - 45A Murramarang Road B... 
  *D25/476921 Report - Statement of Environmental Effects -... 
  *D25/476887 Plans - Site - 45A Murramarang Road BAWLEY PO... 
  *D25/476906 Report - Wastewater Assessment - 45A Murramar... 
DA25/2319/2 Notification / Submissions - C Rocks - PAN-58...
DA25/2319/3 Referrals - C Rocks - PAN-582733 - 45A Murram...
DA25/2319/4 Assessment - C Rocks - PAN-582733 - 45A Murra...
DA25/2319/5 Inspections - C Rocks - PAN-582733 - 45A Murr...
DA25/2319/6 Determination - C Rocks - PAN-582733 - 45A Mu...
DA25/2319/7 Post Determination - C Rocks - PAN-582733 - 4...
DA25/2319/8 Connected Documents - C Rocks - PAN-582733 - ...",Not required
